id,b_m,malignant
ISIC_1498757,benign,0
ISIC_4534593,benign,0
ISIC_2010889,indeterminate/malignant,0
ISIC_7466734,indeterminate/benign,0
ISIC_0080539,malignant,1
ISIC_2948772,benign,0
ISIC_0614911,benign,0
ISIC_7486585,benign,0
ISIC_4515981,benign,0
ISIC_8692144,benign,0
ISIC_8233338,benign,0
ISIC_6356149,malignant,1
ISIC_2149878,indeterminate/malignant,0
ISIC_8278458,malignant,1
ISIC_4615762,indeterminate/malignant,0
ISIC_4141315,benign,0
ISIC_5490257,indeterminate/benign,0
ISIC_8644015,benign,0
ISIC_8082800,benign,0
ISIC_3654052,benign,0
ISIC_6453546,benign,0
ISIC_5358568,benign,0
ISIC_2358324,benign,0
ISIC_5841709,benign,0
ISIC_9631113,benign,0
ISIC_1204654,benign,0
ISIC_7976038,indeterminate/benign,0
ISIC_8727700,benign,0
ISIC_4487501,benign,0
ISIC_4263716,benign,0
ISIC_9812976,benign,0
ISIC_3410585,benign,0
ISIC_8438639,benign,0
ISIC_7486070,benign,0
ISIC_1236175,benign,0
ISIC_5946133,indeterminate/benign,0
ISIC_3594441,benign,0
ISIC_3450746,benign,0
ISIC_5626834,indeterminate/benign,0
ISIC_6792899,malignant,1
ISIC_9689764,benign,0
ISIC_2454870,benign,0
ISIC_6369740,malignant,1
ISIC_2717192,malignant,1
ISIC_4787531,benign,0
ISIC_2738580,benign,0
ISIC_9330230,benign,0
ISIC_8510848,benign,0
ISIC_6099563,indeterminate/malignant,0
ISIC_9696289,benign,0
ISIC_6674797,malignant,1
ISIC_0705477,malignant,1
ISIC_5683310,benign,0
ISIC_4216320,benign,0
ISIC_0665750,benign,0
ISIC_2540746,benign,0
ISIC_0098024,benign,0
ISIC_6295235,benign,0
ISIC_1718882,benign,0
ISIC_3640326,benign,0
ISIC_8609084,benign,0
ISIC_0901635,benign,0
ISIC_7482924,benign,0
ISIC_7021797,benign,0
ISIC_5651765,malignant,1
ISIC_0648545,malignant,1
ISIC_3162213,malignant,1
ISIC_9088073,benign,0
ISIC_1536823,benign,0
ISIC_9430252,indeterminate/benign,0
ISIC_5671218,benign,0
ISIC_7723219,benign,0
ISIC_8907232,malignant,1
ISIC_9382025,indeterminate/benign,0
ISIC_4465911,benign,0
ISIC_7035975,indeterminate/benign,0
ISIC_6473085,benign,0
ISIC_2427899,malignant,1
ISIC_3561464,benign,0
ISIC_6994680,indeterminate/benign,0
ISIC_1620821,benign,0
ISIC_1652988,benign,0
ISIC_1693572,malignant,1
ISIC_7565477,benign,0
ISIC_9829086,benign,0
ISIC_3305055,benign,0
ISIC_5943091,indeterminate/benign,0
ISIC_9334835,benign,0
ISIC_8191057,malignant,1
ISIC_1780008,malignant,1
ISIC_8460948,benign,0
ISIC_8245615,benign,0
ISIC_6958713,indeterminate/benign,0
ISIC_4223497,malignant,1
ISIC_8430738,benign,0
ISIC_1942883,benign,0
ISIC_6620748,malignant,1
ISIC_4438999,benign,0
ISIC_1467266,benign,0
ISIC_0672006,indeterminate/benign,0
ISIC_8172822,malignant,1
ISIC_4355015,benign,0
ISIC_6556373,malignant,1
ISIC_2343627,benign,0
ISIC_2806230,benign,0
ISIC_0324472,indeterminate/benign,0
ISIC_0555848,indeterminate/benign,0
ISIC_5891587,benign,0
ISIC_5314945,benign,0
ISIC_8856365,malignant,1
ISIC_7564065,benign,0
ISIC_7276156,malignant,1
ISIC_9705935,benign,0
ISIC_9876659,benign,0
ISIC_8482289,benign,0
ISIC_1254469,malignant,1
ISIC_0807504,benign,0
ISIC_8308321,malignant,1
ISIC_9599761,benign,0
ISIC_8374889,malignant,1
ISIC_7336507,benign,0
ISIC_0686366,benign,0
ISIC_3958338,benign,0
ISIC_3430886,benign,0
ISIC_5493841,benign,0
ISIC_0806140,benign,0
ISIC_4724569,benign,0
ISIC_7044973,benign,0
ISIC_3591834,benign,0
ISIC_0435215,indeterminate/benign,0
ISIC_0134155,benign,0
ISIC_2891360,benign,0
ISIC_6414435,benign,0
ISIC_1071362,benign,0
ISIC_4190398,benign,0
ISIC_2757332,malignant,1
ISIC_2418276,benign,0
ISIC_4438982,benign,0
ISIC_6959281,malignant,1
ISIC_6427430,malignant,1
ISIC_9729661,benign,0
ISIC_4722397,benign,0
ISIC_0923581,benign,0
ISIC_1814941,malignant,1
ISIC_2003991,malignant,1
ISIC_1136731,benign,0
ISIC_0773886,benign,0
ISIC_1765228,benign,0
ISIC_5809901,benign,0
ISIC_8071637,malignant,1
ISIC_4854995,benign,0
ISIC_7052280,benign,0
ISIC_5564843,benign,0
ISIC_9159477,malignant,1
ISIC_3875865,benign,0
ISIC_3807635,benign,0
ISIC_6008220,benign,0
ISIC_6434212,benign,0
ISIC_4270993,benign,0
ISIC_2829582,benign,0
ISIC_6059858,benign,0
ISIC_4760917,benign,0
ISIC_3658280,malignant,1
ISIC_4713713,malignant,1
ISIC_3004642,benign,0
ISIC_3157754,benign,0
ISIC_6135643,malignant,1
ISIC_2144549,benign,0
ISIC_6823020,benign,0
ISIC_5754023,benign,0
ISIC_3077674,malignant,1
ISIC_1951839,benign,0
ISIC_3058414,benign,0
ISIC_4522789,benign,0
ISIC_2256819,benign,0
ISIC_7622188,benign,0
ISIC_5080908,benign,0
ISIC_5383985,benign,0
ISIC_8176952,benign,0
ISIC_8708918,indeterminate/malignant,0
ISIC_3468952,benign,0
ISIC_1948710,benign,0
ISIC_5744196,malignant,1
ISIC_1935453,benign,0
ISIC_2504585,benign,0
ISIC_1705827,benign,0
ISIC_8633461,benign,0
ISIC_8003201,benign,0
ISIC_3069695,malignant,1
ISIC_8387580,benign,0
ISIC_0928328,benign,0
ISIC_1097830,benign,0
ISIC_8476096,benign,0
ISIC_7412327,malignant,1
ISIC_5309897,benign,0
ISIC_7553497,benign,0
ISIC_0292899,indeterminate/malignant,0
ISIC_0558656,benign,0
ISIC_9363532,benign,0
ISIC_4432308,benign,0
ISIC_0346815,malignant,1
ISIC_5791954,malignant,1
ISIC_5390060,benign,0
ISIC_4313479,benign,0
ISIC_8152488,benign,0
ISIC_4596521,benign,0
ISIC_9431118,benign,0
ISIC_1204130,benign,0
ISIC_7509096,benign,0
ISIC_3883666,benign,0
ISIC_7275519,benign,0
ISIC_4891461,benign,0
ISIC_0820400,benign,0
ISIC_2712088,benign,0
ISIC_0206604,indeterminate/benign,0
ISIC_4955345,benign,0
ISIC_9071073,benign,0
ISIC_9569039,indeterminate/benign,0
ISIC_7779155,benign,0
ISIC_2976456,benign,0
ISIC_3962368,benign,0
ISIC_5296963,malignant,1
ISIC_1708591,malignant,1
ISIC_1576116,benign,0
ISIC_1403411,benign,0
ISIC_6808448,benign,0
ISIC_8141769,benign,0
ISIC_6590224,benign,0
ISIC_9128550,benign,0
ISIC_3210973,benign,0
ISIC_9799448,indeterminate/benign,0
ISIC_9201946,benign,0
ISIC_8088770,benign,0
ISIC_9315277,benign,0
ISIC_3031536,benign,0
ISIC_8907509,malignant,1
ISIC_2238901,benign,0
ISIC_3326332,benign,0
ISIC_3783915,benign,0
ISIC_5012399,benign,0
ISIC_5858622,benign,0
ISIC_6369189,indeterminate/malignant,0
ISIC_4438786,benign,0
ISIC_0345607,benign,0
ISIC_4676341,benign,0
ISIC_8761348,benign,0
ISIC_3060145,benign,0
ISIC_7747165,benign,0
ISIC_4441638,benign,0
ISIC_4473151,benign,0
ISIC_3740014,malignant,1
ISIC_8289408,indeterminate/benign,0
ISIC_7576198,benign,0
ISIC_9603587,benign,0
ISIC_4534665,indeterminate/benign,0
ISIC_2448897,malignant,1
ISIC_5212679,benign,0
ISIC_9072639,benign,0
ISIC_6634325,benign,0
ISIC_7856735,indeterminate/benign,0
ISIC_2663597,malignant,1
ISIC_1118807,benign,0
ISIC_3785008,benign,0
ISIC_0513012,benign,0
ISIC_8671119,malignant,1
ISIC_8733345,malignant,1
ISIC_0375034,malignant,1
ISIC_7376121,benign,0
ISIC_5377242,benign,0
ISIC_8587544,benign,0
ISIC_0413563,malignant,1
ISIC_7254359,malignant,1
ISIC_5109388,benign,0
ISIC_6751710,benign,0
ISIC_4852295,benign,0
ISIC_0310853,benign,0
ISIC_1789103,benign,0
ISIC_9606863,benign,0
ISIC_1380829,benign,0
ISIC_9313458,benign,0
ISIC_1901340,benign,0
ISIC_2237022,benign,0
ISIC_3314382,benign,0
ISIC_7236365,malignant,1
ISIC_2078543,benign,0
ISIC_8457787,benign,0
ISIC_2140551,benign,0
ISIC_1546866,benign,0
ISIC_5556327,benign,0
ISIC_9786863,malignant,1
ISIC_6825567,benign,0
ISIC_1699688,indeterminate/malignant,0
ISIC_8425957,benign,0
ISIC_7081248,benign,0
ISIC_9517555,malignant,1
ISIC_6163910,benign,0
ISIC_5063454,benign,0
ISIC_1581537,benign,0
ISIC_8760203,malignant,1
ISIC_4691689,malignant,1
ISIC_8961478,indeterminate/malignant,0
ISIC_9076331,benign,0
ISIC_0495210,benign,0
ISIC_1166740,indeterminate/malignant,0
ISIC_4263628,benign,0
ISIC_0639571,benign,0
ISIC_4491903,benign,0
ISIC_1791886,benign,0
ISIC_7149190,benign,0
ISIC_9699383,benign,0
ISIC_7022381,benign,0
ISIC_3151591,benign,0
ISIC_2398564,benign,0
ISIC_2005634,benign,0
ISIC_9171071,indeterminate/benign,0
ISIC_9779834,benign,0
ISIC_7783047,benign,0
ISIC_3568067,benign,0
ISIC_1875440,benign,0
ISIC_5923557,malignant,1
ISIC_7609412,benign,0
ISIC_0808203,malignant,1
ISIC_2867416,malignant,1
ISIC_5577211,benign,0
ISIC_4595996,benign,0
ISIC_8662803,benign,0
ISIC_5475235,benign,0
ISIC_1089722,benign,0
ISIC_1216542,benign,0
ISIC_3580083,benign,0
ISIC_6714923,malignant,1
ISIC_1578878,malignant,1
ISIC_8710108,malignant,1
ISIC_0476728,benign,0
ISIC_1147165,benign,0
ISIC_5991710,benign,0
ISIC_3987802,benign,0
ISIC_3868516,benign,0
ISIC_4850167,benign,0
ISIC_1694817,malignant,1
ISIC_5133582,benign,0
ISIC_2712615,benign,0
ISIC_6952242,benign,0
ISIC_9527402,benign,0
ISIC_2728309,benign,0
ISIC_5086554,benign,0
ISIC_3332716,benign,0
ISIC_2722204,benign,0
ISIC_1579386,benign,0
ISIC_7277494,benign,0
ISIC_6767333,benign,0
ISIC_3758135,benign,0
ISIC_0437256,benign,0
ISIC_5015822,benign,0
ISIC_7376567,benign,0
ISIC_7581139,benign,0
ISIC_3640764,benign,0
ISIC_5531260,benign,0
ISIC_7859727,benign,0
ISIC_5241686,benign,0
ISIC_2382511,benign,0
ISIC_1279356,benign,0
ISIC_8850421,benign,0
ISIC_1019322,benign,0
ISIC_5108776,indeterminate/benign,0
ISIC_2645357,benign,0
ISIC_0503442,benign,0
ISIC_4619708,benign,0
ISIC_4733754,benign,0
ISIC_4032749,benign,0
ISIC_8879477,benign,0
ISIC_1017188,benign,0
ISIC_9354524,benign,0
ISIC_9595194,benign,0
ISIC_5336115,benign,0
ISIC_6004197,malignant,1
ISIC_4203917,benign,0
ISIC_5647607,malignant,1
ISIC_4138044,benign,0
ISIC_5548532,benign,0
ISIC_2513018,malignant,1
ISIC_2625894,benign,0
ISIC_4581400,benign,0
ISIC_3596982,benign,0
ISIC_0211399,benign,0
ISIC_3467133,benign,0
ISIC_5549257,benign,0
ISIC_9320716,benign,0
ISIC_1244418,benign,0
ISIC_5140656,benign,0
ISIC_8481515,benign,0
ISIC_6410859,malignant,1
ISIC_8780653,nan,0
ISIC_8572047,nan,0
ISIC_4416957,nan,0
ISIC_4588100,nan,0
ISIC_5296938,nan,0
ISIC_2816803,nan,0
ISIC_1900898,nan,0
ISIC_4443070,nan,0
ISIC_4444941,nan,0
ISIC_3313604,nan,0
ISIC_6217426,nan,0
ISIC_8605118,nan,0
ISIC_9378240,nan,0
ISIC_3110764,nan,0
ISIC_9596359,nan,0
ISIC_0768142,nan,0
ISIC_7100209,nan,0
ISIC_2047976,nan,0
ISIC_3820744,nan,0
ISIC_9731626,nan,0
ISIC_0096991,nan,0
ISIC_2051012,nan,0
ISIC_5508671,nan,0
ISIC_1518985,nan,0
ISIC_1385180,nan,0
ISIC_5546310,nan,0
ISIC_2648086,nan,0
ISIC_3240614,nan,0
ISIC_5760288,nan,0
ISIC_8212686,nan,0
ISIC_8573306,nan,0
ISIC_1878756,nan,0
ISIC_3858145,nan,0
ISIC_0101925,nan,0
ISIC_4267319,nan,0
ISIC_0103606,nan,0
ISIC_7784261,nan,0
ISIC_4327928,nan,0
ISIC_5608178,nan,0
ISIC_0757631,nan,0
ISIC_4735590,nan,0
ISIC_2814689,nan,0
ISIC_2465799,nan,0
ISIC_9315775,nan,0
ISIC_8711280,benign,0
ISIC_3934294,benign,0
ISIC_0597218,benign,0
ISIC_2756237,benign,0
ISIC_7603455,benign,0
ISIC_0916205,benign,0
ISIC_4341651,benign,0
ISIC_7495808,benign,0
ISIC_5659872,benign,0
ISIC_7744063,benign,0
ISIC_7261379,benign,0
ISIC_9536802,benign,0
ISIC_4106190,indeterminate,0
ISIC_9010543,benign,0
ISIC_5753291,benign,0
ISIC_9269907,benign,0
ISIC_5798015,benign,0
ISIC_6793293,benign,0
ISIC_6536532,benign,0
ISIC_4281336,benign,0
ISIC_8830487,benign,0
ISIC_2538175,benign,0
ISIC_5065394,benign,0
ISIC_9860255,benign,0
ISIC_2801456,benign,0
ISIC_7634311,benign,0
ISIC_1099075,malignant,1
ISIC_5820693,malignant,1
ISIC_5623138,benign,0
ISIC_0903411,malignant,1
ISIC_9262654,benign,0
ISIC_4010917,benign,0
ISIC_3174039,malignant,1
ISIC_2185005,malignant,1
ISIC_1217200,benign,0
ISIC_4938914,benign,0
ISIC_9485600,benign,0
ISIC_8583441,benign,0
ISIC_2857760,benign,0
ISIC_5566735,benign,0
ISIC_4163590,benign,0
ISIC_4338709,benign,0
ISIC_2444391,benign,0
ISIC_5078271,benign,0
ISIC_0470037,benign,0
ISIC_7011923,benign,0
ISIC_9108366,benign,0
ISIC_8400705,benign,0
ISIC_7078944,benign,0
ISIC_9848065,benign,0
ISIC_4947304,benign,0
ISIC_2195258,benign,0
ISIC_2775779,benign,0
ISIC_2671471,benign,0
ISIC_4854971,benign,0
ISIC_0749853,benign,0
ISIC_0557560,indeterminate,0
ISIC_8514630,indeterminate,0
ISIC_0310134,benign,0
ISIC_0444602,benign,0
ISIC_2880255,indeterminate,0
ISIC_7155969,benign,0
ISIC_4985074,indeterminate,0
ISIC_5227026,benign,0
ISIC_2003288,benign,0
ISIC_1332092,benign,0
ISIC_2288288,benign,0
ISIC_4750271,malignant,1
ISIC_8423078,benign,0
ISIC_0101540,benign,0
ISIC_9007375,benign,0
ISIC_3977025,benign,0
ISIC_6207818,benign,0
ISIC_6948176,benign,0
ISIC_9830189,benign,0
ISIC_0520674,benign,0
ISIC_2126277,benign,0
ISIC_8012699,benign,0
ISIC_6989261,benign,0
ISIC_6393624,benign,0
ISIC_8168701,benign,0
ISIC_5789867,benign,0
ISIC_8923373,indeterminate,0
ISIC_6736120,benign,0
ISIC_6688890,benign,0
ISIC_0314083,benign,0
ISIC_3037830,benign,0
ISIC_5330829,benign,0
ISIC_1548946,indeterminate,0
ISIC_1634173,benign,0
ISIC_8244535,benign,0
ISIC_5849266,benign,0
ISIC_5601104,benign,0
ISIC_8073555,malignant,1
ISIC_3673376,benign,0
ISIC_0673811,indeterminate,0
ISIC_1585410,benign,0
ISIC_7265115,benign,0
ISIC_3393031,benign,0
ISIC_0839447,benign,0
ISIC_7544286,malignant,1
ISIC_0536439,benign,0
ISIC_3106964,benign,0
ISIC_4618923,benign,0
ISIC_2869677,benign,0
ISIC_6392253,benign,0
ISIC_1475363,benign,0
ISIC_7451283,benign,0
ISIC_4878461,benign,0
ISIC_1328709,indeterminate,0
ISIC_7373609,benign,0
ISIC_0783513,benign,0
ISIC_9803809,benign,0
ISIC_4953281,malignant,1
ISIC_9377355,benign,0
ISIC_7380754,benign,0
ISIC_6128404,benign,0
ISIC_7949933,benign,0
ISIC_9780632,malignant,1
ISIC_4640181,malignant,1
ISIC_5046410,benign,0
ISIC_7264353,benign,0
ISIC_0376071,benign,0
ISIC_6844482,benign,0
ISIC_6584476,benign,0
ISIC_6677145,benign,0
ISIC_0265494,benign,0
ISIC_9229959,benign,0
ISIC_5989969,benign,0
ISIC_2939439,benign,0
ISIC_4901785,benign,0
ISIC_9377882,benign,0
ISIC_6014600,malignant,1
ISIC_4312375,benign,0
ISIC_3023694,benign,0
ISIC_0223461,benign,0
ISIC_2041690,benign,0
ISIC_1206086,benign,0
ISIC_3083366,benign,0
ISIC_8115943,benign,0
ISIC_3186272,benign,0
ISIC_7784603,benign,0
ISIC_5685440,benign,0
ISIC_0178317,benign,0
ISIC_1605945,malignant,1
ISIC_8339416,benign,0
ISIC_4734240,benign,0
ISIC_3225894,benign,0
ISIC_4993277,benign,0
ISIC_6466831,benign,0
ISIC_9389785,indeterminate,0
ISIC_2187659,benign,0
ISIC_3188100,benign,0
ISIC_9143194,benign,0
ISIC_0990298,malignant,1
ISIC_0222050,benign,0
ISIC_8723509,benign,0
ISIC_4510530,malignant,1
ISIC_3619504,benign,0
ISIC_1212149,benign,0
ISIC_2721975,benign,0
ISIC_5864088,malignant,1
ISIC_5426068,benign,0
ISIC_3691992,benign,0
ISIC_4699695,malignant,1
ISIC_6091412,benign,0
ISIC_8472933,benign,0
ISIC_3846854,benign,0
ISIC_2576220,benign,0
ISIC_5678867,benign,0
ISIC_7797007,benign,0
ISIC_0416709,benign,0
ISIC_7528364,benign,0
ISIC_2687067,benign,0
ISIC_4011833,benign,0
ISIC_6172309,indeterminate,0
ISIC_7697150,malignant,1
ISIC_4464389,malignant,1
ISIC_8694075,benign,0
ISIC_7797655,malignant,1
ISIC_5168763,benign,0
ISIC_2433965,malignant,1
ISIC_2512593,benign,0
ISIC_0605858,benign,0
ISIC_8892662,benign,0
ISIC_4817275,benign,0
ISIC_5643047,benign,0
ISIC_3478473,malignant,1
ISIC_8813982,benign,0
ISIC_8611644,benign,0
ISIC_5328915,benign,0
ISIC_8509219,malignant,1
ISIC_3871225,benign,0
ISIC_4384072,benign,0
ISIC_9156630,benign,0
ISIC_3842916,malignant,1
ISIC_3577187,benign,0
ISIC_3321936,benign,0
ISIC_1253099,benign,0
ISIC_1327512,benign,0
ISIC_4684662,benign,0
ISIC_1208163,benign,0
ISIC_1450057,benign,0
ISIC_5264073,benign,0
ISIC_5274586,benign,0
ISIC_7510790,benign,0
ISIC_4288535,benign,0
ISIC_7118325,benign,0
ISIC_8899684,benign,0
ISIC_1758247,benign,0
ISIC_6065363,benign,0
ISIC_9327577,benign,0
ISIC_0357905,benign,0
ISIC_8495841,benign,0
ISIC_9226804,indeterminate,0
ISIC_9060583,benign,0
ISIC_6283716,benign,0
ISIC_9487340,benign,0
ISIC_5063476,benign,0
ISIC_0245720,malignant,1
ISIC_3862113,benign,0
ISIC_7839712,malignant,1
ISIC_3763984,malignant,1
ISIC_1933101,benign,0
ISIC_8790255,benign,0
ISIC_1305755,indeterminate,0
ISIC_7732458,benign,0
ISIC_0327790,benign,0
ISIC_6711611,benign,0
ISIC_7083060,benign,0
ISIC_2139839,malignant,1
ISIC_8399373,indeterminate,0
ISIC_4134230,benign,0
ISIC_5406780,benign,0
ISIC_7674295,benign,0
ISIC_2810420,benign,0
ISIC_8842001,benign,0
ISIC_4548593,benign,0
ISIC_3339253,indeterminate,0
ISIC_5895384,benign,0
ISIC_7654194,benign,0
ISIC_9358012,indeterminate,0
ISIC_0126191,benign,0
ISIC_5127003,benign,0
ISIC_6939823,benign,0
ISIC_6049882,benign,0
ISIC_2850215,malignant,1
ISIC_1615485,indeterminate,0
ISIC_2782072,benign,0
ISIC_3466430,benign,0
ISIC_9219356,malignant,1
ISIC_4535409,benign,0
ISIC_9152603,benign,0
ISIC_7149838,benign,0
ISIC_7779198,benign,0
ISIC_2381635,benign,0
ISIC_6179369,benign,0
ISIC_4684692,benign,0
ISIC_5838895,benign,0
ISIC_6163789,benign,0
ISIC_8988016,benign,0
ISIC_0702665,indeterminate,0
ISIC_2957465,malignant,1
ISIC_6883317,benign,0
ISIC_0119296,benign,0
ISIC_2007396,malignant,1
ISIC_0198315,benign,0
ISIC_7218916,benign,0
ISIC_3943279,benign,0
ISIC_4781223,malignant,1
ISIC_7476070,benign,0
ISIC_3148886,malignant,1
ISIC_6382790,benign,0
ISIC_8344345,malignant,1
ISIC_1426969,benign,0
ISIC_3980802,benign,0
ISIC_4320764,benign,0
ISIC_1085658,benign,0
ISIC_5957970,benign,0
ISIC_9256811,benign,0
ISIC_8010397,benign,0
ISIC_7925908,benign,0
ISIC_7324950,benign,0
ISIC_9787166,benign,0
ISIC_2790519,benign,0
ISIC_9654132,benign,0
ISIC_4987653,indeterminate,0
ISIC_7154536,benign,0
ISIC_8980141,benign,0
ISIC_1919749,benign,0
ISIC_0706692,benign,0
ISIC_6532815,benign,0
ISIC_1906680,benign,0
ISIC_4769243,benign,0
ISIC_3956421,benign,0
ISIC_0082704,benign,0
ISIC_8712559,benign,0
ISIC_8138363,malignant,1
ISIC_0084117,benign,0
ISIC_9963174,benign,0
ISIC_8596479,benign,0
ISIC_5045552,benign,0
ISIC_9568327,indeterminate,0
ISIC_4281796,benign,0
ISIC_4212546,malignant,1
ISIC_6106060,benign,0
ISIC_2410708,benign,0
ISIC_7133618,benign,0
ISIC_0865706,benign,0
ISIC_3630349,benign,0
ISIC_9223727,benign,0
ISIC_0632983,benign,0
ISIC_1601635,benign,0
ISIC_0437036,benign,0
ISIC_2399526,benign,0
ISIC_4196059,benign,0
