id,b_m,malignant,x_sym,y_sym,compact,ap_ratio,rms,coeff_1,coeff_2,coeff_3,mom1_1,mom2_1,mom3_1,mom4_1,mom1_2,mom2_2,mom3_2,mom4_2,mom1_3,mom2_3,mom3_3,mom4_3,pi_sym,pi_bor,pi_col
ISIC_0000035,malignant,1,0.1126,0.0959,0.5567,59.3336,41.142,0.299,0.299,0.299,137.275,41.09,87.108,52.204,137.374,41.04,86.532,52.98,137.45,41.139,89.889,54.117,0.351102,-0.346865,0.894972
ISIC_0000036,malignant,1,0.2371,0.2286,0.5955,36.2012,57.277,0.538,0.538,0.537,105.733,56.915,58.082,37.341,106.294,57.15,60.48,37.33,106.885,57.356,63.096,31.447,0.845225,0.430642,0.383271
ISIC_0000040,malignant,1,0.2988,0.3694,0.5055,19.044,27.856,0.216,0.216,0.216,128.865,27.838,87.419,65.727,128.878,27.835,87.613,64.423,128.878,27.861,90.318,61.439,0.739246,0.227503,0.001449
ISIC_0000042,benign,0,0.1148,0.1863,0.5399,45.9028,40.794,0.29,0.29,0.29,140.48,40.726,115.967,64.924,140.487,40.719,118.116,62.536,140.527,40.766,114.902,57.07,-0.218457,1.564745,0.738674
ISIC_0000043,malignant,1,0.1161,0.1265,0.5179,61.5831,48.814,0.317,0.318,0.317,153.766,48.813,105.035,49.07,153.907,48.93,106.51,49.715,154.234,48.877,101.563,52.059,-0.063911,0.067094,0.27831
ISIC_0000046,malignant,1,0.237,0.243,0.4785,42.1582,36.868,0.275,0.275,0.277,133.213,36.698,104.883,56.985,133.255,36.702,102.829,58.074,133.337,36.916,102.24,61.078,-0.494467,0.048325,-0.107399
ISIC_0000054,malignant,1,0.1391,0.1077,0.7122,52.5699,22.698,0.157,0.157,0.157,144.53,22.756,90.434,28.203,144.52,22.729,89.588,28.14,144.538,22.634,96.542,30.458,0.983005,0.122205,-0.142699
ISIC_0000056,malignant,1,0.2041,0.1817,0.6163,64.6335,26.832,0.182,0.182,0.181,147.73,26.885,115.941,40.37,147.691,26.827,115.719,41.221,147.682,26.775,120.125,44.405,0.822342,-0.448968,0.342994
ISIC_0000058,benign,0,0.1184,0.1519,0.6977,63.8279,26.788,0.183,0.183,0.183,146.548,26.819,107.667,46.905,146.51,26.758,107.767,47.331,146.525,26.754,106.876,47.886,0.071594,-0.031231,-0.184
ISIC_0000065,benign,0,0.1125,0.0589,0.6655,57.7415,31.976,0.213,0.213,0.213,150.076,31.961,92.602,29.867,150.081,31.955,94.117,31.816,150.096,31.93,96.998,33.907,0.949226,0.096351,-0.061873
ISIC_0000072,benign,0,0.229,0.1822,0.5893,18.5609,40.368,0.334,0.333,0.331,121.463,40.528,105.52,45.742,121.823,40.554,106.743,45.473,122.137,40.376,108.635,48.012,-0.592121,1.114648,0.082935
ISIC_0000074,malignant,1,0.3227,0.1851,0.5859,24.3968,44.66,0.34,0.337,0.339,130.863,44.429,107.156,64.715,130.967,44.18,108.773,65.837,131.444,44.596,105.327,62.78,1.804893,0.577557,1.037303
ISIC_0000077,malignant,1,0.2638,0.1924,0.4786,35.6891,43.853,0.369,0.367,0.365,119.53,44.116,76.447,38.978,119.825,43.939,75.941,39.575,120.143,43.801,76.588,40.683,0.040356,0.778135,0.016337
ISIC_0000078,malignant,1,0.1905,0.1266,0.7484,34.5772,35.938,0.29,0.287,0.285,125.443,36.362,78.966,43.908,125.721,36.145,80.202,44.919,125.973,35.867,77.028,45.076,-0.126987,-0.756691,-0.448203
ISIC_0000087,benign,0,0.1103,0.1331,0.6088,55.8935,30.365,0.19,0.19,0.19,160.027,30.398,129.66,69.737,159.991,30.335,132.704,69.418,159.974,30.336,126.674,63.681,-0.143651,-0.014498,-0.282442
ISIC_0000118,benign,0,0.1941,0.206,0.4665,35.5079,41.758,0.315,0.313,0.311,133.803,42.172,106.861,48.751,133.986,41.934,104.214,49.829,134.232,41.691,104.178,52.281,-0.520718,-0.541219,-0.408415
ISIC_0000121,benign,0,0.0647,0.067,0.7426,58.492,25.526,0.171,0.171,0.171,149.59,25.609,118.497,44.365,149.567,25.587,116.994,44.804,149.523,25.523,119.111,46.131,-0.682807,-1.354958,-0.041759
ISIC_0000129,benign,0,0.0864,0.112,0.7339,32.2976,22.245,0.156,0.156,0.155,143.513,22.428,130.547,44.552,143.635,22.422,130.576,43.637,143.65,22.252,130.12,42.46,-0.907772,0.051778,-0.118003
ISIC_0000135,benign,0,0.2298,0.1187,0.6574,23.6269,48.547,0.309,0.308,0.307,157.63,48.738,102.23,41.976,157.875,48.635,102.548,44.138,158.106,48.518,107.564,44.1,-0.675084,1.068813,0.472766
ISIC_0000139,malignant,1,0.1079,0.1267,0.7675,55.5808,26.155,0.172,0.172,0.171,152.478,26.3,113.52,53.482,152.466,26.186,114.693,52.826,152.525,26.108,111.872,51.038,-1.111737,0.726308,-0.131809
ISIC_0000140,malignant,1,0.6285,0.451,0.174,15.4636,59.27,0.498,0.495,0.492,119.528,59.474,63.17,39.921,119.979,59.374,65.516,39.587,120.417,59.205,61.848,40.098,0.78351,0.211539,1.157102
ISIC_0000141,malignant,1,0.1161,0.0993,0.7123,27.0628,16.147,0.111,0.111,0.111,145.752,16.19,159.665,57.399,145.751,16.192,159.868,57.186,145.756,16.162,161.146,53.482,-0.444672,0.036156,-0.067837
ISIC_0000142,malignant,1,0.3547,0.2291,0.4267,27.6036,36.41,0.217,0.217,0.217,167.608,36.39,128.578,71.427,167.652,36.437,129.529,73.326,167.661,36.447,128.515,69.327,-2.058953,0.15662,0.409088
ISIC_0000143,malignant,1,0.2581,0.2514,0.5198,30.428,28.267,0.184,0.183,0.182,154.925,28.451,130.628,54.042,154.872,28.357,130.142,53.615,154.807,28.226,125.549,51.299,0.201092,0.452575,0.235632
ISIC_0000144,malignant,1,0.0824,0.1069,0.76,56.3392,44.155,0.318,0.315,0.312,140.743,44.771,112.015,53.989,140.92,44.436,109.913,52.488,141.087,44.035,107.823,55.24,-0.288009,0.311942,1.127307
ISIC_0000145,malignant,1,0.1417,0.1165,0.6994,58.7571,32.142,0.197,0.197,0.197,163.471,32.198,132.049,61.049,163.454,32.165,132.101,63.247,163.438,32.147,125.388,66.089,0.424552,-0.463501,0.144657
ISIC_0000146,malignant,1,0.172,0.148,0.1765,36.0084,46.248,0.304,0.302,0.3,153.526,46.724,112.452,52.566,153.618,46.365,110.406,49.905,153.816,46.078,104.982,49.001,-0.282523,0.332082,0.703358
ISIC_0000148,malignant,1,0.1021,0.0963,0.7733,46.1231,21.908,0.153,0.162,0.158,140.736,21.532,94.612,57.624,139.971,22.626,93.648,55.594,141.014,22.312,91.586,54.409,0.996698,0.493582,0.243703
ISIC_0000150,malignant,1,0.7794,0.3706,0.3683,28.4895,25.517,0.163,0.163,0.162,157.869,25.707,135.1,65.399,157.911,25.727,136.439,65.048,157.885,25.534,139.072,60.644,1.47553,1.17054,0.71259
ISIC_0000151,malignant,1,0.1181,0.1046,0.7687,28.01,9.212,0.065,0.064,0.064,144.159,9.306,147.717,76.671,144.138,9.27,144.628,76.28,144.137,9.232,147.025,78.292,0.402579,0.378791,-0.384614
ISIC_0000152,malignant,1,0.347,0.2681,0.498,19.4609,29.169,0.19,0.191,0.192,152.415,29.007,122.353,45.194,152.483,29.125,122.447,44.165,152.489,29.224,119.693,44.467,-0.124391,-0.097162,-0.132769
ISIC_0000153,malignant,1,0.7669,0.8538,0.2029,17.747,22.656,0.146,0.146,0.147,154.008,22.437,130.803,58.941,154.04,22.543,130.401,60.733,154.029,22.64,130.312,62.251,0.632832,0.04001,0.20411
ISIC_0000154,malignant,1,0.1162,0.1116,0.6763,36.0996,26.073,0.188,0.185,0.183,141.139,26.598,109.693,58.51,141.329,26.177,111.668,53.889,141.529,25.876,110.416,52.58,0.137255,0.548164,-0.091502
ISIC_0000155,malignant,1,0.4728,0.3546,0.1395,26.51,55.229,0.331,0.331,0.33,167.239,55.437,86.124,18.225,167.199,55.326,83.721,19.165,167.171,55.213,82.725,19.092,0.186036,0.526875,-0.073602
ISIC_0000159,malignant,1,0.1242,0.1322,0.7546,67.3072,26.62,0.168,0.167,0.166,159.448,26.816,114.061,47.431,159.232,26.515,111.294,48.833,159.178,26.501,121.404,49.276,-0.079375,-0.011529,0.298552
ISIC_0000161,malignant,1,0.2717,0.3607,0.5254,55.1711,33.626,0.204,0.204,0.204,165.551,33.696,126.108,64.889,165.61,33.83,130.202,65.031,165.406,33.77,128.535,65.743,1.277818,0.535079,1.011695
ISIC_0000162,malignant,1,0.1319,0.1635,0.6932,64.6419,46.682,0.289,0.29,0.289,161.723,46.739,113.406,71.312,161.84,46.873,114.379,73.452,161.794,46.754,111.576,69.029,0.153992,0.616236,0.445747
ISIC_0000163,malignant,1,0.1233,0.1973,0.6931,26.7014,25.169,0.147,0.151,0.155,165.927,24.32,112.073,55.641,165.736,24.948,107.596,56.582,164.98,25.589,113.436,54.243,0.406238,0.828022,0.512117
ISIC_0000164,malignant,1,0.5567,0.5159,0.2261,17.1467,25.643,0.153,0.156,0.157,164.79,25.143,115.033,63.358,164.908,25.708,120.321,63.429,164.484,25.858,113.66,62.699,1.394225,0.601119,0.416225
ISIC_0000166,malignant,1,0.2112,0.2273,0.6267,66.0587,47.131,0.285,0.285,0.284,166.108,47.367,110.047,54.167,166.178,47.433,108.141,54.89,166.061,47.1,110.055,57.903,0.750727,0.746961,0.367768
ISIC_0000167,malignant,1,0.3984,0.3905,0.2401,28.6255,46.243,0.27,0.27,0.27,171.711,46.405,123.189,61.471,171.514,46.278,118.177,64.156,171.27,46.191,117.378,61.076,1.185036,1.334927,0.726207
ISIC_0000168,malignant,1,0.562,0.4796,0.3822,14.7151,24.913,0.151,0.152,0.154,162.836,24.636,119.811,53.458,162.754,24.754,118.796,54.228,162.593,24.978,118.161,60.256,0.690503,0.581904,0.469711
ISIC_0000171,malignant,1,0.1983,0.1348,0.6485,60.2003,47.491,0.296,0.295,0.295,161.158,47.627,103.4,60.336,161.164,47.555,102.493,63.487,161.072,47.466,98.074,58.159,-0.435973,-0.376421,0.713283
ISIC_0000172,malignant,1,0.1638,0.1506,0.6245,61.6001,21.125,0.124,0.126,0.13,165.872,20.504,134.118,65.52,165.456,20.871,130.188,68.094,164.533,21.408,116.244,62.911,-0.219178,1.224193,0.497108
ISIC_0000173,malignant,1,0.3856,0.3156,0.5148,25.5067,31.023,0.192,0.191,0.193,161.104,30.93,125.352,59.739,160.748,30.68,127.473,61.938,160.396,30.93,121.421,57.592,1.067666,1.149065,0.95257
ISIC_0000174,malignant,1,0.8706,0.9834,0.2293,10.8634,35.879,0.213,0.215,0.217,165.88,35.361,127.904,68.562,165.954,35.64,129.007,70.94,165.993,36.014,128.859,67.986,0.879208,1.378455,0.62105
ISIC_0000175,malignant,1,0.1288,0.1631,0.6668,52.1589,57.053,0.338,0.338,0.338,168.699,56.939,109.861,31.496,168.702,56.955,111.475,32.281,168.812,57.062,107.693,32.029,0.013928,0.174661,0.407332
ISIC_0000176,malignant,1,0.2119,0.2235,0.707,39.8641,16.37,0.111,0.111,0.112,146.08,16.169,116.123,55.907,146.155,16.27,116.469,53.4,146.257,16.42,121.448,56.28,-0.789502,0.478676,0.399857
ISIC_0000179,benign,0,0.0951,0.1836,0.5335,62.0737,24.069,0.149,0.149,0.149,161.636,24.099,134.628,65.675,161.74,24.052,133.495,64.551,161.966,24.055,136.909,61.284,-0.093726,1.365756,0.655592
ISIC_0000180,benign,0,0.14,0.1101,0.6485,50.4416,28.985,0.18,0.18,0.179,162.312,29.207,119.684,60.959,162.22,29.131,117.979,57.033,162.065,28.956,120.236,62.098,0.001996,-0.161147,1.076645
ISIC_0000186,benign,0,0.0932,0.074,0.7477,40.0583,37.085,0.227,0.227,0.228,162.968,36.944,113.682,45.993,163.018,36.945,114.173,48.121,162.987,37.102,125.182,44.189,-0.641019,-0.257508,-0.396859
ISIC_0000213,benign,0,0.142,0.1748,0.6725,68.4009,46.813,0.28,0.283,0.285,165.04,46.16,117.393,61.048,165.239,46.698,116.613,57.639,165.206,47.072,117.229,56.019,0.089798,0.453428,0.412123
ISIC_0000226,benign,0,0.1218,0.1239,0.717,60.7103,25.271,0.154,0.155,0.156,164.214,25.219,129.424,74.964,163.841,25.355,129.115,68.236,162.994,25.415,119.271,64.736,-0.4808,-0.211757,-0.147493
ISIC_0000239,benign,0,0.1471,0.1321,0.6827,55.1835,57.249,0.339,0.339,0.339,168.799,57.273,73.586,19.253,168.787,57.246,72.609,19.911,168.788,57.232,69.982,17.772,-1.32444,0.247174,0.024618
ISIC_0000240,benign,0,0.18,0.1916,0.6829,33.082,8.021,0.059,0.059,0.059,136.253,8.018,119.333,70.763,136.332,8.018,118.43,69.444,136.439,8.004,118.627,70.925,0.060294,-0.54284,0.622122
ISIC_0000274,benign,0,0.1002,0.0782,0.709,56.237,56.288,0.488,0.485,0.483,115.688,56.402,66.345,36.996,116.1,56.305,65.807,33.853,116.552,56.271,66.599,35.204,-0.631774,-0.076243,1.668243
ISIC_0000277,malignant,1,0.4859,0.4369,0.2738,23.0877,52.866,0.47,0.468,0.465,112.741,52.961,60.947,31.426,113.107,52.887,61.467,32.026,113.588,52.831,60.098,33.079,0.607108,1.29917,0.760468
ISIC_0000278,malignant,1,0.327,0.393,0.2942,37.4527,11.239,0.069,0.069,0.07,161.438,11.163,112.919,77.125,161.497,11.142,112.336,79.137,161.59,11.259,111.924,79.163,1.279186,0.432514,0.208172
ISIC_0000279,malignant,1,0.2038,0.2015,0.4735,63.4445,22.677,0.139,0.139,0.139,162.854,22.607,124.348,61.656,162.878,22.577,123.29,59.691,163.025,22.695,123.542,56.411,0.881585,0.583842,-0.505312
ISIC_0000283,malignant,1,0.1951,0.2,0.5575,42.2658,56.562,0.656,0.651,0.644,87.098,57.162,41.11,16.945,87.348,56.878,47.467,18.406,87.592,56.436,47.204,17.055,-0.137035,-0.263718,0.682115
ISIC_0000287,malignant,1,0.1773,0.186,0.6787,54.8652,54.129,0.503,0.502,0.5,106.995,53.853,60.013,27.078,107.628,53.998,61.639,26.947,108.326,54.201,61.255,27.729,0.84911,0.532185,1.136894
ISIC_0000291,malignant,1,0.2117,0.2552,0.5177,39.4636,12.921,0.083,0.083,0.083,156.426,12.944,105.678,66.186,156.442,12.944,106.597,66.253,156.482,12.954,103.398,64.021,0.677332,-0.344782,0.040798
ISIC_0000292,malignant,1,0.2417,0.2257,0.4711,58.2905,18.37,0.114,0.114,0.114,161.188,18.385,99.973,58.07,161.148,18.33,101.3,56.855,161.209,18.353,100.152,60.514,0.474967,1.054528,1.202505
ISIC_0000294,malignant,1,0.1917,0.2065,0.5521,64.0051,21.626,0.134,0.135,0.135,160.926,21.613,121.792,50.248,160.994,21.693,121.525,50.217,161.003,21.658,123.928,50.129,0.656456,0.561623,0.52351
ISIC_0000295,malignant,1,0.8061,0.2506,0.5213,6.968,23.568,0.17,0.168,0.167,140.763,23.943,129.358,66.853,140.699,23.598,129.461,67.88,140.589,23.44,126.532,62.803,-0.47672,0.495243,0.410465
ISIC_0000296,malignant,1,1.0379,0.2759,0.1239,2.6428,26.317,0.175,0.173,0.174,152.087,26.542,113.822,68.633,151.898,26.252,110.987,73.521,151.585,26.306,106.415,67.161,1.096261,0.868474,0.032514
ISIC_0000297,malignant,1,0.1466,0.1323,0.7028,26.2565,26.922,0.177,0.175,0.175,153.905,27.186,113.281,63.035,153.576,26.862,109.421,59.742,153.373,26.828,106.189,55.611,-1.192083,-0.724253,-0.928342
ISIC_0000300,malignant,1,0.3454,0.3578,0.4287,27.4932,25.959,0.175,0.175,0.175,149.058,26.093,113.739,58.084,149.048,26.041,115.099,57.828,148.981,26.021,116.906,53.607,0.669941,-0.161215,1.131273
ISIC_0000301,malignant,1,0.3304,0.5022,0.304,19.1977,40.306,0.336,0.334,0.331,121.288,40.748,120.769,68.8,121.301,40.47,120.158,63.354,121.243,40.079,122.079,63.786,0.551213,1.18894,-0.405441
ISIC_0000303,malignant,1,0.8374,0.3187,0.3674,7.1426,26.381,0.19,0.189,0.187,140.861,26.804,123.945,70.622,140.735,26.579,125.079,64.369,140.533,26.237,126.474,62.23,-0.058015,1.255829,0.668779
ISIC_0000304,malignant,1,0.407,0.3579,0.4286,14.0113,24.534,0.17,0.168,0.167,146.266,24.87,124.201,69.359,146.311,24.576,123.89,69.652,146.497,24.481,127.479,72.161,-0.226099,0.399057,-0.05993
ISIC_0000305,malignant,1,1.3197,0.381,0.1132,2.6142,24.494,0.168,0.166,0.164,148.548,24.974,116.094,72.58,148.467,24.647,119.18,73.395,148.572,24.32,119.062,70.667,0.466548,0.813618,0.985414
ISIC_0000306,malignant,1,1.1746,0.2173,0.122,2.634,28.103,0.207,0.206,0.202,139.015,28.801,143.585,82.786,138.688,28.584,136.267,77.542,138.284,27.944,139.243,82.484,-1.239145,0.26563,-0.085999
ISIC_0000310,malignant,1,0.3293,0.5636,0.2454,26.2755,24.514,0.174,0.178,0.18,138.145,24.088,126.26,66.418,137.436,24.4,129.788,63.146,136.867,24.655,122.09,64.408,-0.275666,1.319726,0.674681
ISIC_0000313,malignant,1,0.1656,0.2194,0.5474,34.5354,30.443,0.197,0.196,0.198,154.145,30.439,114.724,61.469,153.931,30.224,116.152,61.961,153.923,30.412,116.264,65.066,-0.656444,0.408625,-0.046218
ISIC_0000314,malignant,1,0.093,0.1184,0.7239,55.5824,31.865,0.212,0.211,0.211,150.728,31.926,132.283,60.122,150.865,31.896,133.317,61.906,150.955,31.914,125.096,68.605,-1.192871,0.239097,-0.247639
ISIC_0000315,benign,0,0.1141,0.1379,0.648,39.053,25.984,0.172,0.17,0.171,152.163,26.176,104.054,62.248,152.275,25.963,107.939,60.85,152.282,26.03,108.356,59.242,-0.567786,-0.411111,0.249628
ISIC_0000346,benign,0,0.2139,0.1394,0.6142,48.2706,26.672,0.178,0.176,0.175,152.137,27.019,115.833,64.461,152.173,26.805,115.098,62.781,152.27,26.663,118.863,64.712,0.695023,0.283229,0.547082
ISIC_0000349,benign,0,0.21,0.1741,0.6702,31.2612,26.598,0.18,0.179,0.179,149.161,26.812,103.214,60.139,148.906,26.703,101.122,56.589,148.727,26.582,106.962,53.871,-0.909664,-0.096708,1.009
ISIC_0000358,benign,0,0.1721,0.2168,0.5952,42.1323,34.754,0.23,0.23,0.231,150.85,34.751,118.107,56.747,150.988,34.755,123.549,61.745,151.268,34.948,116.653,58.425,0.514079,-0.093558,-0.285972
ISIC_0000368,benign,0,0.2269,0.341,0.4846,8.0756,27.257,0.19,0.19,0.192,142.975,27.184,122.727,69.06,142.531,27.11,123.178,67.927,141.975,27.261,120.587,67.85,0.131561,0.151096,-0.50327
ISIC_0000371,benign,0,0.1195,0.146,0.6265,46.4926,26.161,0.182,0.18,0.18,145.762,26.472,120.007,70.05,145.761,26.214,120.285,68.851,145.788,26.184,115.93,66.697,-0.936225,-0.194285,0.266917
ISIC_0000375,benign,0,0.2589,0.1187,0.6252,45.2055,9.82,0.071,0.071,0.07,139.523,9.898,123.023,51.386,139.518,9.846,122.904,53.046,139.515,9.782,127.498,56.288,0.467127,0.135259,0.08617
ISIC_0000377,benign,0,0.2297,0.1713,0.7271,46.6871,32.838,0.221,0.221,0.222,148.025,32.664,121.214,32.232,148.124,32.772,122.869,32.402,148.212,32.899,123.248,32.264,0.570541,-0.193276,-0.310372
ISIC_0000384,benign,0,0.1847,0.2198,0.7412,25.3076,13.267,0.097,0.097,0.098,136.115,13.171,86.681,31.629,136.18,13.237,87.662,30.566,136.254,13.288,89.066,29.243,-0.011219,-0.654486,0.39963
ISIC_0000387,benign,0,0.298,0.2027,0.7142,15.5265,16.818,0.126,0.126,0.126,133.516,16.818,99.976,57.673,133.521,16.781,99.353,54.947,133.684,16.813,100.916,58.058,-0.901693,-0.252788,-0.880804
ISIC_0000392,benign,0,0.1871,0.2648,0.5516,40.5954,9.527,0.071,0.072,0.072,132.607,9.43,98.723,33.211,132.696,9.537,100.16,35.873,132.668,9.554,100.267,37.302,0.363481,-0.071445,0.115359
ISIC_0000393,malignant,1,0.3568,0.311,0.3913,49.7622,19.387,0.135,0.135,0.136,143.148,19.309,119.805,45.213,143.182,19.335,118.905,43.34,143.252,19.412,118.713,48.282,0.657718,0.473437,0.164962
ISIC_0000394,malignant,1,0.3871,0.4606,0.4515,15.7778,16.452,0.123,0.123,0.122,134.452,16.497,129.648,48.061,134.54,16.533,126.536,49.002,134.671,16.487,131.827,50.068,0.910649,0.113879,-0.692409
ISIC_0000395,malignant,1,0.3323,0.3321,0.3002,21.37,17.643,0.135,0.134,0.132,132.504,17.918,116.495,61.224,132.67,17.741,113.969,59.021,132.882,17.582,114.303,58.869,0.816233,0.175114,-0.011182
ISIC_0000398,malignant,1,0.3373,0.3468,0.3953,37.9903,22.811,0.155,0.154,0.153,148.971,23.068,115.385,46.364,148.909,22.951,116.746,45.397,148.927,22.776,117.005,47.398,0.788098,0.161002,0.878429
ISIC_0000401,malignant,1,0.5469,0.7979,0.5,8.09,10.589,0.072,0.071,0.071,148.146,10.73,126.673,69.749,148.035,10.541,124.023,65.528,148.029,10.519,126.182,63.901,0.592622,0.960999,0.829008
ISIC_0000406,malignant,1,0.1378,0.1665,0.6304,16.488,9.045,0.065,0.066,0.066,137.721,8.931,142.975,58.57,137.721,9.046,144.203,57.598,137.745,9.105,139.414,59.375,0.754422,0.372144,1.014745
ISIC_0000410,malignant,1,0.183,0.511,0.4037,27.8653,13.957,0.101,0.1,0.101,138.124,13.891,99.846,35.42,138.18,13.886,99.804,38.209,138.275,13.942,97.114,40.148,0.035483,0.696058,-0.263075
ISIC_0000411,malignant,1,0.5212,0.547,0.2498,15.3902,22.778,0.162,0.164,0.164,138.71,22.538,109.929,64.568,139.002,22.755,113.204,61.054,139.206,22.867,107.544,56.432,0.957973,0.276831,1.420042
ISIC_0000413,malignant,1,0.3816,0.414,0.25,34.9747,25.18,0.174,0.174,0.174,144.261,25.06,106.662,45.218,144.441,25.121,106.401,44.422,144.647,25.211,108.299,42.435,0.972032,0.569205,0.422174
ISIC_0000414,malignant,1,0.5681,0.4821,0.2605,32.7108,28.71,0.198,0.197,0.196,146.411,29.024,108.715,59.21,146.358,28.843,112.98,58.465,146.339,28.623,112.229,58.212,1.48116,0.236678,1.408948
ISIC_0000419,benign,0,0.1594,0.3748,0.5993,58.9805,28.467,0.192,0.191,0.191,148.858,28.507,85.905,28.036,148.843,28.49,84.557,27.365,148.852,28.46,80.41,28.62,-0.117867,0.480002,-0.182172
ISIC_0000420,malignant,1,0.3674,0.1961,0.5068,21.7374,25.922,0.18,0.179,0.178,145.046,26.055,97.62,38.787,145.231,25.97,97.715,40.342,145.398,25.923,96.106,39.715,1.328889,0.14489,-0.029492
ISIC_0000421,benign,0,0.1738,0.3694,0.5437,24.5057,14.092,0.099,0.099,0.099,142.311,14.106,114.649,48.628,142.294,14.132,114.923,48.576,142.238,14.101,114.21,45.318,-0.338393,-0.067318,-0.485259
ISIC_0000423,benign,0,0.1026,0.0955,0.7784,61.7519,23.39,0.149,0.149,0.149,156.579,23.286,130.296,54.38,156.564,23.266,131.514,53.72,156.625,23.392,133.182,53.335,-1.103045,-0.133959,-0.157818
ISIC_0000424,benign,0,0.3386,0.2185,0.6285,50.1176,17.214,0.111,0.111,0.111,155.186,17.211,118.43,59.403,155.174,17.156,117.686,58.344,155.25,17.184,118.384,56.263,0.723227,1.490777,0.177693
ISIC_0000429,malignant,1,0.2925,0.2421,0.3957,52.0868,53.9,0.562,0.556,0.551,96.281,54.113,55.973,38.882,96.99,53.925,55.954,40.224,97.71,53.839,54.611,37.62,-0.541235,-0.05048,0.997311
ISIC_0000431,benign,0,0.1656,0.1735,0.6423,27.7159,11.615,0.084,0.084,0.085,137.125,11.531,104.509,43.592,137.136,11.56,104.153,41.408,137.197,11.642,102.888,40.191,-0.409476,-0.406146,-0.100195
ISIC_0000434,malignant,1,0.3422,0.3036,0.5783,43.9396,31.494,0.2,0.2,0.2,157.154,31.428,139.279,51.289,157.187,31.456,138.904,53.795,157.242,31.505,137.229,51.298,1.139187,0.002055,0.001031
ISIC_0000440,malignant,1,0.393,0.6708,0.2785,15.1506,14.475,0.089,0.09,0.091,159.379,14.242,104.986,72.126,159.513,14.331,109.176,74.583,159.55,14.542,107.555,70.851,0.275582,0.63256,0.626247
ISIC_0000441,malignant,1,0.1658,0.2992,0.4619,43.9311,14.923,0.102,0.1,0.099,148.618,15.135,135.795,68.913,148.725,14.927,134.861,68.681,148.846,14.791,135.316,67.803,0.114679,-0.201848,0.1349
ISIC_0000444,malignant,1,0.3115,0.3567,0.4793,21.9672,12.941,0.085,0.087,0.089,146.281,12.462,133.574,60.496,146.462,12.685,137.2,61.313,146.492,12.993,136.342,62.209,-0.129797,1.222695,0.200239
ISIC_0000445,malignant,1,0.1599,0.3606,0.6225,23.5648,13.245,0.096,0.095,0.094,140.077,13.487,139.778,55.718,140.204,13.329,138.935,55.359,140.323,13.173,141.001,57.021,-0.580808,0.00268,0.663983
ISIC_0000446,malignant,1,0.907,0.8389,0.1117,19.3082,18.954,0.127,0.127,0.126,150.392,19.037,112.189,60.327,150.507,19.044,113.216,59.569,150.587,18.975,111.525,62.352,0.794481,-0.594239,0.278443
